time,step,loss,examples/sec,sec/batch
2016-11-29 03:09:27.680759,10,4.63,700.9,0.183
2016-11-29 03:09:29.541712,20,4.48,684.9,0.187
2016-11-29 03:09:31.411493,30,4.42,686.3,0.187
2016-11-29 03:09:33.258350,40,4.38,684.5,0.187
2016-11-29 03:09:35.126076,50,4.26,681.5,0.188
2016-11-29 03:09:36.992839,60,4.28,740.6,0.173
2016-11-29 03:09:38.846357,70,4.21,684.4,0.187
2016-11-29 03:09:40.718706,80,4.10,626.3,0.204
2016-11-29 03:09:42.550534,90,4.02,689.7,0.186
2016-11-29 03:09:44.408239,100,4.09,701.1,0.183
2016-11-29 03:09:46.457672,110,4.19,689.6,0.186
2016-11-29 03:09:48.320279,120,3.98,688.5,0.186
2016-11-29 03:09:50.168660,130,4.06,691.4,0.185
2016-11-29 03:09:52.042824,140,4.03,685.5,0.187
2016-11-29 03:09:53.902365,150,3.97,704.9,0.182
2016-11-29 03:09:55.763672,160,3.97,699.9,0.183
2016-11-29 03:09:57.637359,170,4.03,701.2,0.183
2016-11-29 03:09:59.496145,180,3.79,695.8,0.184
2016-11-29 03:10:01.323137,190,4.23,690.6,0.185
2016-11-29 03:10:03.194036,200,3.88,717.0,0.179
2016-11-29 03:10:05.213090,210,3.77,707.6,0.181
2016-11-29 03:10:07.041650,220,4.12,703.6,0.182
2016-11-29 03:10:08.881332,230,3.81,677.9,0.189
2016-11-29 03:10:10.716028,240,3.62,686.5,0.186
2016-11-29 03:10:12.544137,250,3.69,684.9,0.187
2016-11-29 03:10:14.379664,260,3.83,691.5,0.185
2016-11-29 03:10:16.207460,270,3.66,817.5,0.157
2016-11-29 03:10:18.037559,280,3.55,685.4,0.187
2016-11-29 03:10:19.866986,290,3.66,690.4,0.185
2016-11-29 03:10:21.701250,300,3.62,698.6,0.183
2016-11-29 03:10:23.722276,310,3.61,716.9,0.179
2016-11-29 03:10:25.561725,320,3.60,692.0,0.185
2016-11-29 03:10:27.400375,330,3.48,696.4,0.184
2016-11-29 03:10:29.223408,340,3.70,675.3,0.190
2016-11-29 03:10:31.047537,350,3.59,704.5,0.182
2016-11-29 03:10:32.929766,360,3.37,664.2,0.193
2016-11-29 03:10:34.872670,370,3.54,624.6,0.205
2016-11-29 03:10:36.698111,380,3.40,682.4,0.188
2016-11-29 03:10:38.555936,390,3.41,673.4,0.190
2016-11-29 03:10:40.429943,400,3.40,663.9,0.193
2016-11-29 03:10:42.444769,410,3.17,685.5,0.187
2016-11-29 03:10:44.274163,420,3.36,695.9,0.184
2016-11-29 03:10:46.104061,430,3.31,696.6,0.184
2016-11-29 03:10:47.934937,440,3.47,721.0,0.178
2016-11-29 03:10:49.762295,450,3.08,713.7,0.179
2016-11-29 03:10:51.582810,460,3.14,700.5,0.183
2016-11-29 03:10:53.401811,470,3.25,712.6,0.180
2016-11-29 03:10:55.252695,480,3.16,624.2,0.205
2016-11-29 03:10:57.060848,490,3.03,692.8,0.185
2016-11-29 03:10:58.870882,500,3.05,705.2,0.182
2016-11-29 03:11:00.904175,510,3.09,685.7,0.187
2016-11-29 03:11:02.751821,520,3.14,702.0,0.182
2016-11-29 03:11:04.566980,530,3.12,691.9,0.185
2016-11-29 03:11:06.390854,540,3.42,691.3,0.185
2016-11-29 03:11:08.227219,550,3.14,708.8,0.181
2016-11-29 03:11:10.045002,560,3.09,736.3,0.174
2016-11-29 03:11:11.884284,570,3.18,708.9,0.181
2016-11-29 03:11:13.713527,580,3.03,708.0,0.181
2016-11-29 03:11:15.527034,590,3.13,709.2,0.180
2016-11-29 03:11:17.330354,600,3.09,709.0,0.181
2016-11-29 03:11:19.325421,610,3.24,689.2,0.186
2016-11-29 03:11:21.148514,620,2.94,682.5,0.188
2016-11-29 03:11:22.973208,630,2.97,694.5,0.184
2016-11-29 03:11:24.806657,640,3.08,803.0,0.159
2016-11-29 03:11:26.616158,650,2.79,709.9,0.180
2016-11-29 03:11:28.449711,660,2.75,639.9,0.200
2016-11-29 03:11:30.279330,670,2.81,608.3,0.210
2016-11-29 03:11:32.081679,680,2.75,712.2,0.180
2016-11-29 03:11:33.906051,690,3.07,730.7,0.175
2016-11-29 03:11:35.721922,700,2.83,699.9,0.183
2016-11-29 03:11:37.745565,710,2.66,700.6,0.183
2016-11-29 03:11:39.568917,720,2.59,722.4,0.177
2016-11-29 03:11:41.378969,730,2.82,708.0,0.181
2016-11-29 03:11:43.203638,740,2.91,695.5,0.184
2016-11-29 03:11:45.009971,750,3.01,727.3,0.176
2016-11-29 03:11:46.815391,760,2.88,698.8,0.183
2016-11-29 03:11:48.617157,770,2.66,717.5,0.178
2016-11-29 03:11:50.429732,780,2.55,718.8,0.178
2016-11-29 03:11:52.253639,790,2.69,707.4,0.181
2016-11-29 03:11:54.069135,800,2.62,706.3,0.181
2016-11-29 03:11:56.084918,810,2.62,704.5,0.182
2016-11-29 03:11:57.899434,820,2.89,730.5,0.175
2016-11-29 03:11:59.728270,830,2.40,692.8,0.185
2016-11-29 03:12:01.581080,840,2.82,678.8,0.189
2016-11-29 03:12:03.447494,850,2.67,707.1,0.181
2016-11-29 03:12:05.346465,860,2.72,661.8,0.193
2016-11-29 03:12:07.207431,870,2.60,707.1,0.181
2016-11-29 03:12:09.079093,880,2.55,743.0,0.172
2016-11-29 03:12:10.926865,890,2.47,705.9,0.181
2016-11-29 03:12:12.772676,900,2.59,739.3,0.173
2016-11-29 03:12:14.823309,910,2.52,699.4,0.183
2016-11-29 03:12:16.647075,920,2.54,710.0,0.180
2016-11-29 03:12:18.476722,930,2.56,751.1,0.170
2016-11-29 03:12:20.286565,940,2.44,745.4,0.172
2016-11-29 03:12:22.094894,950,2.51,702.8,0.182
2016-11-29 03:12:23.897354,960,2.62,701.9,0.182
2016-11-29 03:12:25.711232,970,2.48,700.8,0.183
2016-11-29 03:12:27.548120,980,2.39,705.5,0.181
2016-11-29 03:12:29.388963,990,2.45,711.1,0.180
2016-11-29 03:12:31.218487,1000,2.41,704.7,0.182
2016-11-29 03:12:33.775913,1010,2.44,695.7,0.184
2016-11-29 03:12:35.593936,1020,2.35,707.7,0.181
2016-11-29 03:12:37.417500,1030,2.57,705.6,0.181
2016-11-29 03:12:39.252031,1040,2.37,632.5,0.202
2016-11-29 03:12:41.023956,1050,2.37,724.3,0.177
2016-11-29 03:12:42.821874,1060,2.45,780.4,0.164
2016-11-29 03:12:44.627262,1070,2.38,716.4,0.179
2016-11-29 03:12:46.429723,1080,2.29,708.8,0.181
2016-11-29 03:12:48.223812,1090,2.33,713.0,0.180
2016-11-29 03:12:50.038462,1100,2.39,702.0,0.182
2016-11-29 03:12:52.033535,1110,2.28,817.7,0.157
2016-11-29 03:12:53.842399,1120,2.23,717.5,0.178
2016-11-29 03:12:55.661284,1130,2.36,678.6,0.189
2016-11-29 03:12:57.477252,1140,2.28,724.2,0.177
2016-11-29 03:12:59.278151,1150,2.27,707.1,0.181
2016-11-29 03:13:01.110910,1160,2.23,700.0,0.183
2016-11-29 03:13:02.945248,1170,2.30,695.6,0.184
2016-11-29 03:13:04.766985,1180,2.32,693.9,0.184
2016-11-29 03:13:06.557846,1190,2.13,701.1,0.183
2016-11-29 03:13:08.356225,1200,2.23,728.7,0.176
2016-11-29 03:13:10.361246,1210,2.26,711.8,0.180
2016-11-29 03:13:12.186446,1220,2.11,690.1,0.185
2016-11-29 03:13:13.983414,1230,2.13,729.5,0.175
2016-11-29 03:13:15.813573,1240,2.14,621.1,0.206
2016-11-29 03:13:17.610923,1250,2.01,688.3,0.186
2016-11-29 03:13:19.424610,1260,2.07,709.1,0.181
2016-11-29 03:13:21.222882,1270,2.68,731.5,0.175
2016-11-29 03:13:23.043998,1280,2.13,735.9,0.174
2016-11-29 03:13:24.864401,1290,2.11,704.7,0.182
2016-11-29 03:13:26.674131,1300,2.20,713.5,0.179
2016-11-29 03:13:28.661786,1310,2.14,703.6,0.182
2016-11-29 03:13:30.470758,1320,2.10,700.8,0.183
2016-11-29 03:13:32.277016,1330,2.29,782.7,0.164
2016-11-29 03:13:34.075069,1340,1.84,717.8,0.178
2016-11-29 03:13:35.859286,1350,2.00,710.9,0.180
2016-11-29 03:13:37.669646,1360,2.16,715.4,0.179
2016-11-29 03:13:39.484313,1370,2.06,716.5,0.179
2016-11-29 03:13:41.278546,1380,1.94,840.5,0.152
2016-11-29 03:13:43.102051,1390,2.10,703.5,0.182
2016-11-29 03:13:44.936326,1400,2.05,701.2,0.183
2016-11-29 03:13:46.941457,1410,1.93,702.6,0.182
2016-11-29 03:13:48.763130,1420,2.00,696.8,0.184
2016-11-29 03:13:50.574750,1430,2.04,687.9,0.186
2016-11-29 03:13:52.408657,1440,1.92,631.7,0.203
2016-11-29 03:13:54.215967,1450,2.21,646.4,0.198
2016-11-29 03:13:55.996033,1460,1.83,730.4,0.175
2016-11-29 03:13:57.817122,1470,2.17,700.4,0.183
2016-11-29 03:13:59.622553,1480,1.95,715.5,0.179
2016-11-29 03:14:01.441669,1490,1.99,706.0,0.181
2016-11-29 03:14:03.275076,1500,1.98,706.7,0.181
2016-11-29 03:14:05.268494,1510,2.26,722.5,0.177
2016-11-29 03:14:07.082473,1520,1.89,700.2,0.183
2016-11-29 03:14:08.891512,1530,2.08,697.8,0.183
2016-11-29 03:14:10.701724,1540,1.98,709.4,0.180
2016-11-29 03:14:12.524286,1550,2.07,687.3,0.186
2016-11-29 03:14:14.334127,1560,1.90,705.2,0.182
2016-11-29 03:14:16.134881,1570,1.94,719.3,0.178
2016-11-29 03:14:17.943219,1580,1.76,720.9,0.178
2016-11-29 03:14:19.774750,1590,1.92,698.5,0.183
2016-11-29 03:14:21.592806,1600,2.02,811.1,0.158
2016-11-29 03:14:23.591043,1610,1.89,647.5,0.198
2016-11-29 03:14:25.366488,1620,2.07,773.2,0.166
2016-11-29 03:14:27.193268,1630,2.27,685.6,0.187
2016-11-29 03:14:28.988854,1640,1.73,726.1,0.176
2016-11-29 03:14:30.805730,1650,1.70,710.9,0.180
2016-11-29 03:14:32.610784,1660,2.15,693.6,0.185
2016-11-29 03:14:34.425230,1670,1.76,704.4,0.182
2016-11-29 03:14:36.259470,1680,1.88,627.9,0.204
2016-11-29 03:14:38.025031,1690,1.67,701.0,0.183
2016-11-29 03:14:39.831780,1700,1.78,727.2,0.176
2016-11-29 03:14:41.827277,1710,1.82,693.2,0.185
2016-11-29 03:14:43.634183,1720,1.90,716.6,0.179
2016-11-29 03:14:45.437786,1730,1.63,714.1,0.179
2016-11-29 03:14:47.234996,1740,1.93,730.3,0.175
2016-11-29 03:14:49.047809,1750,1.83,687.4,0.186
2016-11-29 03:14:50.852067,1760,1.78,682.1,0.188
2016-11-29 03:14:52.650198,1770,1.73,713.9,0.179
2016-11-29 03:14:54.461988,1780,1.71,714.1,0.179
2016-11-29 03:14:56.269993,1790,1.69,709.4,0.180
2016-11-29 03:14:58.068683,1800,1.72,720.3,0.178
2016-11-29 03:15:00.055615,1810,1.67,710.8,0.180
2016-11-29 03:15:01.904470,1820,1.79,634.4,0.202
2016-11-29 03:15:03.731764,1830,1.96,697.5,0.184
2016-11-29 03:15:05.531294,1840,1.70,712.1,0.180
2016-11-29 03:15:07.341087,1850,1.63,710.0,0.180
2016-11-29 03:15:09.155975,1860,1.97,729.7,0.175
2016-11-29 03:15:10.977592,1870,1.63,701.6,0.182
2016-11-29 03:15:12.785737,1880,1.61,715.4,0.179
2016-11-29 03:15:14.598273,1890,1.82,686.1,0.187
2016-11-29 03:15:16.383124,1900,1.58,720.3,0.178
2016-11-29 03:15:18.361660,1910,1.75,696.3,0.184
2016-11-29 03:15:20.172940,1920,1.72,752.8,0.170
2016-11-29 03:15:21.981487,1930,1.78,702.0,0.182
2016-11-29 03:15:23.790869,1940,1.65,702.0,0.182
2016-11-29 03:15:25.626422,1950,1.55,681.0,0.188
2016-11-29 03:15:27.436933,1960,1.71,699.4,0.183
2016-11-29 03:15:29.248835,1970,1.64,687.0,0.186
2016-11-29 03:15:31.046584,1980,1.65,684.6,0.187
2016-11-29 03:15:32.838410,1990,1.69,698.2,0.183
2016-11-29 03:15:34.636548,2000,1.55,752.7,0.170
2016-11-29 03:15:37.096101,2010,1.76,699.6,0.183
2016-11-29 03:15:38.920722,2020,1.67,701.9,0.182
2016-11-29 03:15:40.733582,2030,1.55,632.1,0.203
2016-11-29 03:15:42.515259,2040,1.56,701.5,0.182
2016-11-29 03:15:44.282195,2050,1.72,729.3,0.176
2016-11-29 03:15:46.067584,2060,1.56,702.4,0.182
2016-11-29 03:15:47.875652,2070,1.54,723.8,0.177
2016-11-29 03:15:49.666936,2080,1.55,720.7,0.178
2016-11-29 03:15:51.456842,2090,1.88,717.6,0.178
2016-11-29 03:15:53.250181,2100,1.72,717.0,0.179
2016-11-29 03:15:55.217942,2110,1.79,740.0,0.173
2016-11-29 03:15:57.028480,2120,1.50,640.1,0.200
2016-11-29 03:15:58.806669,2130,1.60,720.6,0.178
2016-11-29 03:16:00.608725,2140,1.44,700.4,0.183
2016-11-29 03:16:02.413793,2150,1.49,729.6,0.175
2016-11-29 03:16:04.215115,2160,1.66,734.7,0.174
2016-11-29 03:16:06.004887,2170,1.43,707.9,0.181
2016-11-29 03:16:07.812426,2180,1.42,701.5,0.182
2016-11-29 03:16:09.630077,2190,1.54,703.6,0.182
2016-11-29 03:16:11.438919,2200,1.47,688.7,0.186
2016-11-29 03:16:13.424988,2210,1.54,714.2,0.179
2016-11-29 03:16:15.220095,2220,1.60,710.8,0.180
2016-11-29 03:16:17.018056,2230,1.53,712.5,0.180
2016-11-29 03:16:18.815873,2240,1.49,719.9,0.178
2016-11-29 03:16:20.600706,2250,1.75,723.1,0.177
2016-11-29 03:16:22.425047,2260,1.43,684.6,0.187
2016-11-29 03:16:24.243972,2270,1.50,655.2,0.195
2016-11-29 03:16:26.026588,2280,1.56,696.3,0.184
2016-11-29 03:16:27.824107,2290,1.57,701.8,0.182
2016-11-29 03:16:29.631606,2300,1.46,709.6,0.180
2016-11-29 03:16:31.620289,2310,1.64,678.9,0.189
2016-11-29 03:16:33.421040,2320,1.54,717.4,0.178
2016-11-29 03:16:35.233614,2330,1.43,715.9,0.179
