time,step,loss,examples/sec,sec/batch
2016-11-28T18:20:03.480175,10,4.64,821.9,0.156
2016-11-28T18:20:04.981457,20,4.41,863.4,0.148
2016-11-28T18:20:06.523929,30,4.34,857.4,0.149
2016-11-28T18:20:08.077421,40,4.63,842.7,0.152
2016-11-28T18:20:09.653306,50,4.25,816.4,0.157
2016-11-28T18:20:11.237509,60,4.24,785.0,0.163
2016-11-28T18:20:12.816201,70,4.16,797.4,0.161
2016-11-28T18:20:14.404978,80,4.17,788.8,0.162
2016-11-28T18:20:16.023453,90,4.15,826.4,0.155
2016-11-28T18:20:17.644319,100,4.11,767.7,0.167
2016-11-28T18:20:19.452995,110,4.06,841.8,0.152
2016-11-28T18:20:21.036347,120,4.29,804.3,0.159
2016-11-28T18:20:22.617239,130,4.08,791.1,0.162
2016-11-28T18:20:24.201144,140,3.98,818.7,0.156
2016-11-28T18:20:25.782207,150,4.02,794.9,0.161
2016-11-28T18:20:27.356558,160,3.81,857.7,0.149
2016-11-28T18:20:28.944432,170,3.88,778.9,0.164
2016-11-28T18:20:30.529587,180,4.06,812.4,0.158
2016-11-28T18:20:32.118991,190,3.87,808.3,0.158
2016-11-28T18:20:33.721581,200,3.82,790.9,0.162
2016-11-28T18:20:35.495177,210,3.72,824.4,0.155
2016-11-28T18:20:37.047799,220,3.70,826.3,0.155
2016-11-28T18:20:38.605716,230,3.83,799.8,0.160
2016-11-28T18:20:40.158977,240,3.66,823.8,0.155
2016-11-28T18:20:41.730562,250,3.63,779.0,0.164
2016-11-28T18:20:43.282831,260,3.66,824.6,0.155
2016-11-28T18:20:44.844798,270,3.78,815.3,0.157
2016-11-28T18:20:46.405657,280,3.59,839.8,0.152
2016-11-28T18:20:47.979639,290,3.56,798.7,0.160
2016-11-28T18:20:49.537861,300,3.49,810.2,0.158
2016-11-28T18:20:51.294310,310,3.62,826.8,0.155
2016-11-28T18:20:52.854896,320,3.49,847.5,0.151
2016-11-28T18:20:54.429490,330,3.57,811.8,0.158
2016-11-28T18:20:55.988104,340,3.52,803.6,0.159
2016-11-28T18:20:57.551367,350,3.60,796.1,0.161
2016-11-28T18:20:59.106802,360,3.50,849.3,0.151
2016-11-28T18:21:00.663396,370,3.48,836.7,0.153
2016-11-28T18:21:02.241416,380,3.41,823.5,0.155
2016-11-28T18:21:03.831289,390,3.38,823.5,0.155
2016-11-28T18:21:05.421339,400,3.47,832.8,0.154
2016-11-28T18:21:07.223910,410,3.26,792.0,0.162
2016-11-28T18:21:08.822700,420,3.43,807.7,0.158
2016-11-28T18:21:10.459185,430,3.55,755.2,0.169
2016-11-28T18:21:12.081876,440,3.37,817.1,0.157
2016-11-28T18:21:13.708344,450,3.27,772.6,0.166
2016-11-28T18:21:15.335741,460,3.35,790.4,0.162
2016-11-28T18:21:16.959618,470,3.12,773.4,0.166
2016-11-28T18:21:18.589375,480,3.46,815.2,0.157
2016-11-28T18:21:20.208528,490,3.45,778.9,0.164
2016-11-28T18:21:21.830041,500,3.52,815.3,0.157
2016-11-28T18:21:23.607094,510,3.11,836.5,0.153
2016-11-28T18:21:25.180163,520,3.18,837.5,0.153
2016-11-28T18:21:26.743742,530,3.11,795.0,0.161
2016-11-28T18:21:28.306385,540,2.94,830.3,0.154
2016-11-28T18:21:29.880895,550,3.08,796.3,0.161
2016-11-28T18:21:31.452419,560,3.01,823.9,0.155
2016-11-28T18:21:33.015589,570,3.15,799.8,0.160
2016-11-28T18:21:34.583346,580,3.03,815.0,0.157
2016-11-28T18:21:36.139539,590,3.06,831.8,0.154
2016-11-28T18:21:37.692737,600,3.01,826.8,0.155
2016-11-28T18:21:39.452150,610,2.94,823.7,0.155
2016-11-28T18:21:41.008751,620,3.01,818.4,0.156
2016-11-28T18:21:42.573496,630,2.85,829.5,0.154
2016-11-28T18:21:44.129423,640,3.10,797.7,0.160
2016-11-28T18:21:45.675920,650,2.90,792.5,0.162
2016-11-28T18:21:47.225915,660,2.78,806.0,0.159
2016-11-28T18:21:48.783037,670,2.88,828.4,0.155
2016-11-28T18:21:50.345380,680,2.83,828.6,0.154
2016-11-28T18:21:51.907596,690,2.91,811.6,0.158
2016-11-28T18:21:53.462209,700,2.86,849.7,0.151
2016-11-28T18:21:55.238430,710,2.73,818.6,0.156
2016-11-28T18:21:56.794371,720,3.27,805.8,0.159
2016-11-28T18:21:58.392049,730,2.85,841.8,0.152
2016-11-28T18:21:59.994659,740,2.86,790.3,0.162
2016-11-28T18:22:01.595916,750,2.86,766.3,0.167
2016-11-28T18:22:03.204702,760,2.79,774.5,0.165
2016-11-28T18:22:04.825605,770,2.60,778.2,0.164
2016-11-28T18:22:06.438847,780,2.77,808.3,0.158
2016-11-28T18:22:08.064926,790,2.80,786.1,0.163
2016-11-28T18:22:09.687062,800,2.99,767.1,0.167
2016-11-28T18:22:11.519523,810,2.76,784.4,0.163
2016-11-28T18:22:13.139487,820,2.87,821.5,0.156
2016-11-28T18:22:14.769116,830,2.80,771.1,0.166
2016-11-28T18:22:16.403010,840,2.55,756.4,0.169
2016-11-28T18:22:18.029023,850,2.81,822.0,0.156
2016-11-28T18:22:19.653880,860,2.74,785.5,0.163
2016-11-28T18:22:21.276394,870,2.71,795.9,0.161
2016-11-28T18:22:22.895099,880,2.63,808.6,0.158
2016-11-28T18:22:24.524752,890,2.48,777.1,0.165
2016-11-28T18:22:26.131077,900,2.81,808.7,0.158
2016-11-28T18:22:27.960755,910,2.64,755.3,0.169
2016-11-28T18:22:29.580195,920,2.52,799.3,0.160
2016-11-28T18:22:31.198951,930,2.66,788.0,0.162
2016-11-28T18:22:32.809494,940,2.45,783.4,0.163
2016-11-28T18:22:34.426141,950,2.56,843.0,0.152
2016-11-28T18:22:36.053581,960,2.44,813.2,0.157
2016-11-28T18:22:37.669396,970,2.41,788.0,0.162
