time,step,loss,examples/sec,sec/batch
2016-11-29 01:59:08.760898,10,4.66,540.1,0.237
2016-11-29 01:59:11.203018,20,4.55,513.8,0.249
2016-11-29 01:59:13.677032,30,4.48,522.1,0.245
2016-11-29 01:59:16.136998,40,4.33,521.0,0.246
2016-11-29 01:59:18.495096,50,4.24,512.1,0.250
2016-11-29 01:59:20.958053,60,4.32,521.7,0.245
2016-11-29 01:59:23.370318,70,4.26,590.3,0.217
2016-11-29 01:59:25.808959,80,4.31,535.7,0.239
2016-11-29 01:59:28.222859,90,4.26,522.5,0.245
2016-11-29 01:59:30.600084,100,4.12,515.9,0.248
2016-11-29 01:59:33.239154,110,4.29,520.7,0.246
2016-11-29 01:59:35.618866,120,4.03,540.0,0.237
2016-11-29 01:59:37.997173,130,4.00,464.2,0.276
2016-11-29 01:59:40.376111,140,4.11,592.4,0.216
2016-11-29 01:59:42.745294,150,3.97,536.2,0.239
2016-11-29 01:59:45.089852,160,3.93,582.3,0.220
2016-11-29 01:59:47.512220,170,3.83,519.5,0.246
2016-11-29 01:59:49.938594,180,3.95,515.6,0.248
2016-11-29 01:59:52.373326,190,3.76,512.8,0.250
2016-11-29 01:59:54.783222,200,3.75,536.4,0.239
2016-11-29 01:59:57.378193,210,3.85,504.0,0.254
2016-11-29 01:59:59.786407,220,3.74,566.3,0.226
2016-11-29 02:00:02.147106,230,3.77,549.5,0.233
2016-11-29 02:00:04.555231,240,3.94,538.9,0.237
2016-11-29 02:00:06.970891,250,3.75,527.0,0.243
2016-11-29 02:00:09.354480,260,3.61,532.9,0.240
2016-11-29 02:00:11.728506,270,3.62,531.9,0.241
2016-11-29 02:00:14.123203,280,3.80,544.5,0.235
2016-11-29 02:00:16.450158,290,3.50,524.2,0.244
2016-11-29 02:00:18.767895,300,3.49,547.5,0.234
2016-11-29 02:00:21.432170,310,3.51,504.4,0.254
2016-11-29 02:00:23.797124,320,3.71,589.6,0.217
2016-11-29 02:00:26.246260,330,3.51,476.8,0.268
2016-11-29 02:00:28.651240,340,3.54,488.8,0.262
2016-11-29 02:00:31.036567,350,3.42,518.5,0.247
2016-11-29 02:00:33.416977,360,3.44,522.4,0.245
2016-11-29 02:00:35.777247,370,3.29,539.5,0.237
2016-11-29 02:00:38.131859,380,3.49,499.0,0.257
2016-11-29 02:00:40.503507,390,3.42,545.6,0.235
2016-11-29 02:00:42.903815,400,3.54,519.8,0.246
2016-11-29 02:00:45.469015,410,3.61,547.7,0.234
2016-11-29 02:00:47.849393,420,3.24,536.1,0.239
2016-11-29 02:00:50.222400,430,3.22,544.9,0.235
2016-11-29 02:00:52.619756,440,3.35,521.7,0.245
2016-11-29 02:00:54.878294,450,3.41,646.5,0.198
2016-11-29 02:00:57.247268,460,3.25,543.7,0.235
2016-11-29 02:00:59.698678,470,3.35,477.5,0.268
2016-11-29 02:01:02.037357,480,3.29,550.8,0.232
2016-11-29 02:01:04.342540,490,3.30,531.5,0.241
2016-11-29 02:01:06.721440,500,3.21,498.8,0.257
2016-11-29 02:01:09.315912,510,3.08,544.6,0.235
2016-11-29 02:01:11.642568,520,3.00,555.6,0.230
2016-11-29 02:01:14.038375,530,3.04,513.0,0.250
2016-11-29 02:01:16.445727,540,3.20,526.4,0.243
2016-11-29 02:01:18.832494,550,3.13,539.7,0.237
2016-11-29 02:01:21.236668,560,2.99,522.7,0.245
2016-11-29 02:01:23.614281,570,3.14,565.0,0.227
2016-11-29 02:01:26.001965,580,3.01,534.9,0.239
2016-11-29 02:01:28.374109,590,3.41,538.3,0.238
2016-11-29 02:01:30.811680,600,2.88,577.8,0.222
2016-11-29 02:01:33.378911,610,3.08,519.1,0.247
2016-11-29 02:01:35.747746,620,2.91,523.7,0.244
2016-11-29 02:01:38.047016,630,2.85,537.5,0.238
