time,step,loss,examples/sec,sec/batch
2016-11-28T20:07:50.711359,10,4.63,1651.6,0.077
2016-11-28T20:07:53.517224,20,4.53,2096.0,0.061
2016-11-28T20:07:56.261027,30,4.39,1733.3,0.074
2016-11-28T20:07:58.960031,40,4.34,1821.4,0.070
2016-11-28T20:08:01.644395,50,4.25,1852.7,0.069
2016-11-28T20:08:04.367818,60,4.37,1907.1,0.067
2016-11-28T20:08:07.041034,70,4.20,1748.9,0.073
2016-11-28T20:08:09.726048,80,4.15,1834.2,0.070
2016-11-28T20:08:12.504447,90,3.96,1908.4,0.067
2016-11-28T20:08:15.203707,100,3.99,1955.6,0.065
2016-11-28T20:08:18.230872,110,4.15,1867.5,0.069
2016-11-28T20:08:20.890246,120,4.01,2042.7,0.063
2016-11-28T20:08:23.655361,130,4.01,1649.4,0.078
2016-11-28T20:08:26.330911,140,3.98,1851.6,0.069
2016-11-28T20:08:29.065689,150,3.91,1929.2,0.066
2016-11-28T20:08:31.785453,160,4.22,2033.7,0.063
2016-11-28T20:08:34.546933,170,3.83,2026.0,0.063
2016-11-28T20:08:37.219488,180,3.89,1998.9,0.064
2016-11-28T20:08:39.922296,190,3.72,1763.5,0.073
2016-11-28T20:08:42.585010,200,3.63,1955.2,0.065
2016-11-28T20:08:45.585058,210,3.65,1714.3,0.075
2016-11-28T20:08:48.357572,220,3.65,2077.9,0.062
2016-11-28T20:08:51.098662,230,3.80,1797.8,0.071
2016-11-28T20:08:53.891228,240,3.69,1869.8,0.068
2016-11-28T20:08:56.672476,250,3.61,1676.0,0.076
2016-11-28T20:08:59.434869,260,3.59,1809.3,0.071
2016-11-28T20:09:02.093110,270,3.67,2172.5,0.059
2016-11-28T20:09:04.785954,280,3.46,1818.0,0.070
2016-11-28T20:09:07.524630,290,3.63,1737.4,0.074
2016-11-28T20:09:10.297262,300,3.40,1696.4,0.075
2016-11-28T20:09:13.273558,310,3.54,2125.5,0.060
2016-11-28T20:09:15.934383,320,3.51,1900.1,0.067
2016-11-28T20:09:18.607325,330,3.49,1685.4,0.076
2016-11-28T20:09:21.295760,340,3.31,1980.2,0.065
2016-11-28T20:09:23.956483,350,3.43,2056.4,0.062
2016-11-28T20:09:26.756826,360,3.38,2022.7,0.063
2016-11-28T20:09:29.508139,370,3.48,1848.9,0.069
2016-11-28T20:09:32.205409,380,3.29,1938.7,0.066
2016-11-28T20:09:34.918991,390,3.58,1982.1,0.065
2016-11-28T20:09:37.606147,400,3.27,1940.0,0.066
2016-11-28T20:09:40.479373,410,3.46,1998.9,0.064
2016-11-28T20:09:43.094872,420,3.19,1995.1,0.064
2016-11-28T20:09:45.752188,430,3.13,1919.2,0.067
2016-11-28T20:09:48.403130,440,3.32,1833.7,0.070
2016-11-28T20:09:51.150414,450,3.17,1911.9,0.067
2016-11-28T20:09:53.835859,460,3.55,1890.8,0.068
2016-11-28T20:09:56.534731,470,3.23,1803.1,0.071
2016-11-28T20:09:59.213109,480,3.27,1896.5,0.067
2016-11-28T20:10:01.995193,490,3.16,1948.8,0.066
2016-11-28T20:10:04.748104,500,3.05,1812.8,0.071
2016-11-28T20:10:07.721487,510,3.10,1958.8,0.065
2016-11-28T20:10:10.437703,520,3.00,1806.9,0.071
2016-11-28T20:10:13.036116,530,3.11,1966.8,0.065
2016-11-28T20:10:15.682596,540,3.03,1847.5,0.069
2016-11-28T20:10:18.347126,550,3.21,1886.8,0.068
2016-11-28T20:10:20.948915,560,3.08,2042.3,0.063
2016-11-28T20:10:23.588826,570,3.10,1904.9,0.067
2016-11-28T20:10:26.305386,580,3.21,1840.1,0.070
2016-11-28T20:10:28.965818,590,3.10,1824.0,0.070
2016-11-28T20:10:31.558552,600,3.05,2095.5,0.061
2016-11-28T20:10:34.510747,610,2.80,2052.3,0.062
2016-11-28T20:10:37.244254,620,2.77,1891.7,0.068
2016-11-28T20:10:39.859820,630,3.02,1905.2,0.067
